block,method,num_agents,obs_radius,seed,isr,csr,makespan
main,A* Only,4,5,90000,1.0,1.0,48
main,A* Only,4,5,90001,1.0,1.0,42
main,A* Only,4,5,90002,1.0,1.0,53
main,A* Only,4,5,90003,1.0,1.0,43
main,A* Only,4,5,90004,1.0,1.0,81
main,A* Only,4,5,90005,1.0,1.0,36
main,A* Only,4,5,90006,1.0,1.0,61
main,A* Only,4,5,90007,1.0,1.0,24
main,A* Only,4,5,90008,1.0,1.0,34
main,A* Only,4,5,90009,1.0,1.0,38
main,A* Only,4,5,90010,1.0,1.0,207
main,A* Only,4,5,90011,1.0,1.0,53
main,A* Only,4,5,90012,0.5,0.0,
main,A* Only,4,5,90013,1.0,1.0,52
main,A* Only,4,5,90014,1.0,1.0,87
main,A* Only,4,5,90015,1.0,1.0,18
main,A* Only,4,5,90016,1.0,1.0,50
main,A* Only,4,5,90017,1.0,1.0,75
main,A* Only,4,5,90018,1.0,1.0,29
main,A* Only,4,5,90019,1.0,1.0,51
main,A* Only,4,5,90020,1.0,1.0,37
main,A* Only,4,5,90021,1.0,1.0,34
main,A* Only,4,5,90022,1.0,1.0,30
main,A* Only,4,5,90023,1.0,1.0,43
main,A* Only,4,5,90024,1.0,1.0,62
main,A* Only,4,5,90025,1.0,1.0,41
main,A* Only,4,5,90026,1.0,1.0,111
main,A* Only,4,5,90027,1.0,1.0,48
main,A* Only,4,5,90028,1.0,1.0,39
main,A* Only,4,5,90029,1.0,1.0,51
main,A* Only,4,5,90030,1.0,1.0,99
main,A* Only,4,5,90031,1.0,1.0,39
main,A* Only,4,5,90032,1.0,1.0,51
main,A* Only,4,5,90033,1.0,1.0,46
main,A* Only,4,5,90034,1.0,1.0,73
main,A* Only,4,5,90035,1.0,1.0,57
main,A* Only,4,5,90036,1.0,1.0,39
main,A* Only,4,5,90037,1.0,1.0,159
main,A* Only,4,5,90038,1.0,1.0,51
main,A* Only,4,5,90039,1.0,1.0,45
main,A* Only,4,5,90040,1.0,1.0,46
main,A* Only,4,5,90041,1.0,1.0,53
main,A* Only,4,5,90042,1.0,1.0,59
main,A* Only,4,5,90043,1.0,1.0,44
main,A* Only,4,5,90044,1.0,1.0,54
main,A* Only,4,5,90045,1.0,1.0,40
main,A* Only,4,5,90046,1.0,1.0,41
main,A* Only,4,5,90047,1.0,1.0,44
main,A* Only,4,5,90048,1.0,1.0,52
main,A* Only,4,5,90049,1.0,1.0,40
main,A* Only,4,5,90050,1.0,1.0,24
main,A* Only,4,5,90051,0.5,0.0,
main,A* Only,4,5,90052,1.0,1.0,41
main,A* Only,4,5,90053,1.0,1.0,52
main,A* Only,4,5,90054,0.5,0.0,
main,A* Only,4,5,90055,1.0,1.0,42
main,A* Only,4,5,90056,1.0,1.0,57
main,A* Only,4,5,90057,1.0,1.0,58
main,A* Only,4,5,90058,1.0,1.0,61
main,A* Only,4,5,90059,0.5,0.0,
main,A* Only,4,5,90060,1.0,1.0,31
main,A* Only,4,5,90061,1.0,1.0,36
main,A* Only,4,5,90062,1.0,1.0,49
main,A* Only,4,5,90063,1.0,1.0,50
main,A* Only,4,5,90064,1.0,1.0,107
main,A* Only,4,5,90065,1.0,1.0,48
main,A* Only,4,5,90066,1.0,1.0,64
main,A* Only,4,5,90067,1.0,1.0,57
main,A* Only,4,5,90068,1.0,1.0,50
main,A* Only,4,5,90069,1.0,1.0,38
main,A* Only,4,5,90070,1.0,1.0,41
main,A* Only,4,5,90071,1.0,1.0,65
main,A* Only,4,5,90072,1.0,1.0,67
main,A* Only,4,5,90073,1.0,1.0,85
main,A* Only,4,5,90074,1.0,1.0,107
main,A* Only,4,5,90075,1.0,1.0,40
main,A* Only,4,5,90076,1.0,1.0,41
main,A* Only,4,5,90077,1.0,1.0,46
main,A* Only,4,5,90078,1.0,1.0,54
main,A* Only,4,5,90079,1.0,1.0,33
main,A* Only,4,5,90080,1.0,1.0,42
main,A* Only,4,5,90081,0.5,0.0,
main,A* Only,4,5,90082,1.0,1.0,79
main,A* Only,4,5,90083,1.0,1.0,70
main,A* Only,4,5,90084,1.0,1.0,47
main,A* Only,4,5,90085,1.0,1.0,17
main,A* Only,4,5,90086,1.0,1.0,36
main,A* Only,4,5,90087,1.0,1.0,77
main,A* Only,4,5,90088,1.0,1.0,28
main,A* Only,4,5,90089,1.0,1.0,61
